roll,pitch,yaw
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.541816,0.039082,-0.026387
0,0,0
0,0,0
-0.023803,-2.213433,-2.197211
0,0,0
0,0,0
1.613165,0.055731,-0.042036
0,0,0
0,0,0
1.729684,0.136290,-0.103265
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.565494,0.060159,-0.048744
0,0,0
0,0,0
1.413358,0.037330,-0.023240
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.399531,0.044190,-0.020382
0,0,0
0,0,0
1.609976,0.162470,-0.134686
0,0,0
0,0,0
-0.133307,-2.006675,-2.264533
0,0,0
0,0,0
1.738328,0.154754,-0.128562
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1.308495,0.733056,0.477537
0,0,0
0,0,0
-1.331577,0.695899,0.437179
0,0,0
0,0,0
-1.322020,0.765437,0.492609
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.028952,2.147243,2.292598
0,0,0
0,0,0
-0.135031,-1.683312,-2.550108
0,0,0
0,0,0
-0.214771,-1.992091,-2.198783
0,0,0
0,0,0
-0.077413,-2.234551,-2.099591
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.564310,0.046307,-0.035622
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.090205,2.540412,1.885721
0,0,0
0,0,0
-0.278702,-2.100985,-1.982142
0,0,0
0,0,0
-0.124983,-2.309115,-1.939051
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1.074132,0.953074,0.805241
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.626197,0.226347,-0.165002
0,0,0
0,0,0
1.637425,0.122590,-0.078666
0,0,0
0,0,0
1.447483,0.003741,0.023278
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.455792,-0.019013,0.033106
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.298985,-0.015574,0.043154
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.229164,-0.046030,0.085911
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.327393,-0.056952,0.095877
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.224397,0.047730,0.055462
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.290851,-0.023575,0.039441
0,0,0
0,0,0
1.474241,-0.046341,0.075415
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
