Index             x          y          z          roll      pitch        yaw
------------------------------------------------------------------------
0            0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
1            0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
2            0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
3            0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
4            0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
5            0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
6            0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
7            0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
8            0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
9            0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
10           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
11           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
12           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
13           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
14           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
15           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
16           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
17           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
18           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
19           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
20           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
21           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
22           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
23           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
24          -0.0052    -0.0188     0.0491        1.5418     0.0391    -0.0264
25           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
26           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
27           0.0035    -0.0139     0.0476       -0.0238    -2.2134    -2.1972
28           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
29           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
30          -0.0056    -0.0178     0.0477        1.6132     0.0557    -0.0420
31           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
32           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
33          -0.0064    -0.0163     0.0470        1.7297     0.1363    -0.1033
34           0.0000     0.0000     0.0000        0.0000     0.0000     0.0000
